objectid,City,Station ID,Station Name,Number of Docks,Installed,On/Off-Street,EPC Status,Transit Status,Latitude,Longitude,x,y
390,San Francisco,SF-G5,Clement St at 32nd Ave,23,2020-03-04,On-Street,1,1,37.781722,-122.492844,-122.492844,37.7817220000001
391,San Francisco,SF-F17,Clay St at Lyon St,23,2022-10-26,On-Street,0,1,37.7892792,-122.4450687,-122.4450687,37.7892792000001
392,San Francisco,SF-E28,Clay St at Battery St,31,2017-06-14,On-Street,0,1,37.795001,-122.39997,-122.39997,37.7950010000001
393,San Francisco,SF-I25,Civic Center/UN Plaza BART Station (Market St at McAllister St),31,2017-06-19,Off-Street,1,1,37.7810737,-122.4117382,-122.4117382,37.7810737
394,San Francisco,SF-L20,Church St at Duboce Ave,27,2017-07-12,On-Street,0,1,37.7700831,-122.4291557,-122.4291557,37.7700831000001
395,San Francisco,SF-K30-2,China Basin St at 3rd St,31,2019-01-09,On-Street,0,1,37.7719996,-122.3899698,-122.3899698,37.7719996000001
396,San Francisco,SF-B22,Chestnut St at Van Ness Ave,23,2019-09-24,On-Street,0,1,37.80228839,-122.4245086,-122.4245086,37.8022883900001
397,San Francisco,SF-S21,Cesar Chavez St at Dolores St,15,2017-08-03,On-Street,0,1,37.7478584,-122.4249863,-122.4249863,37.7478584
398,San Francisco,SF-Z28,Carroll Ave at 3rd St,23,2019-09-19,On-Street,1,1,37.72558949,-122.3945977,-122.3945977,37.7255894900001
399,San Francisco,SF-M15,Carl St at Cole St,23,2019-06-17,On-Street,0,1,37.76591021,-122.4492574,-122.4492574,37.7659102100001
400,San Francisco,SF-A20,Buchanan St at North Point St,28,2019-03-09,Off-Street,0,1,37.80427202,-122.4335369,-122.4335369,37.80427202
401,San Francisco,SF-B20,Buchanan St at Lombard St,23,2023-12-01,On-Street,0,1,37.800494,-122.432759,-122.432759,37.8004940000001
402,San Francisco,SF-J27,Bryant St at 6th St,28,2017-06-16,On-Street,0,1,37.77586038,-122.4026939,-122.4026939,37.77586038
403,San Francisco,SF I29-1,Bryant St at 2nd St,27,2018-03-08,On-Street,0,1,37.78317199,-122.393572,-122.393572,37.78317199
404,San Francisco,SF-K18,Broderick St at Oak St,27,2017-08-09,On-Street,0,1,37.7730627,-122.4390777,-122.4390777,37.7730627
405,San Francisco,SF-C26-1,Broadway at Kearny St,19,2017-06-26,On-Street,1,1,37.79801364,-122.4059504,-122.4059504,37.7980136400001
406,San Francisco,SF-C28-2,Broadway at Battery St,19,2017-06-13,On-Street,0,1,37.79857211,-122.400869,-122.400869,37.7985721100001
407,San Francisco,SF-Z13,Brighton Ave at Ocean Ave,19,2022-02-18,On-Street,0,1,37.72349898,-122.4550982,-122.4550982,37.72349898
408,San Francisco,SF-AA20,Brazil Ave at La Grande Ave,19,2023-09-14,On-Street,1,1,37.72024,-122.425312,-122.425312,37.72024
409,San Francisco,SF-K27-3,Brannan St at Harriet St,28,2023-04-11,On-Street,0,1,37.774256,-122.40185,-122.40185,37.774256
410,San Francisco,SF-I30-2,Brannan St at Colin P Kelly Jr St,35,2019-10-15,On-Street,0,1,37.78238579,-122.3913431,-122.3913431,37.78238579
411,San Francisco,SF-K27-2,Brannan St at 7th St,24,2019-10-31,On-Street,0,1,37.77243632,-122.4039026,-122.4039026,37.7724363200001
412,San Francisco,SF-J28-2,Brannan St at 4th St,19,2019-09-05,On-Street,0,1,37.77793367,-122.3969731,-122.3969731,37.77793367
413,San Francisco,SF-L28,Berry St at King St,23,2018-06-26,On-Street,0,1,37.77176211,-122.3984376,-122.3984376,37.7717621100001
414,San Francisco,SF-K29-1,Berry St at 4th St,35,2017-06-16,On-Street,0,1,37.77588,-122.39317,-122.39317,37.77588
415,San Francisco,SF-G30-1,Beale St at Harrison St,23,2017-08-10,On-Street,0,1,37.7880593,-122.3918648,-122.3918648,37.7880593
416,San Francisco,SF-B19,Bay St at Fillmore St,27,2019-03-06,On-Street,0,1,37.80263595,-122.4362889,-122.4362889,37.80263595
417,San Francisco,SF-B28-2,Battery St at Filbert St,31,2020-01-09,On-Street,0,1,37.80219785,-122.4017715,-122.4017715,37.80219785
418,San Francisco,SF-AA15-2,Balboa Park BART Station 2,19,2023-10-11,Off-Street,0,1,37.72091386,-122.4476572,-122.4476572,37.7209138600001
419,San Francisco,SF-AA15,Balboa Park BART Station,25,2019-05-03,Off-Street,0,1,37.72055499,-122.4477232,-122.4477232,37.72055499
420,San Francisco,SF-Y16,Balboa Park (San Jose Ave at Sgt. John V. Young Ln),23,2022-02-15,On-Street,0,1,37.72483723,-122.4432981,-122.4432981,37.72483723
421,San Francisco,SF-W19-2,Arlington St at Roanoke St,19,2020-06-29,On-Street,0,1,37.734966,-122.429772,-122.429772,37.734966
422,San Francisco,SF-G13,Arguello Blvd at Geary Blvd,19,2019-09-20,Off-Street,0,1,37.78146762,-122.458806,-122.458806,37.7814676200001
423,San Francisco,SF-H13,Arguello Blvd at Edward St,19,2019-11-14,On-Street,0,1,37.77848699,-122.4586451,-122.4586451,37.77848699
424,San Francisco,SF-H15,Anza St at Collins St,29,2020-02-05,On-Street,0,1,37.78068,-122.450012,-122.450012,37.7806800000001
425,San Francisco,SF-G8,Anza St at 19th Ave,19,2020-06-04,On-Street,0,1,37.77855735,-122.4779898,-122.4779898,37.77855735
426,San Francisco,SF-C21,Allyne Park (Green St at Gough St),19,2020-10-16,Off-Street,0,1,37.797249,-122.427457,-122.427457,37.7972490000001
427,San Francisco,SF-X19,Alemany Blvd at Silver Ave,19,2020-07-22,On-Street,0,1,37.7301745,-122.4328959,-122.4328959,37.7301745
428,San Francisco,SF-Z17,Alemany Blvd at Ocean Ave,15,2023-09-07,On-Street,0,1,37.7232648,-122.4378259,-122.4378259,37.7232648
429,San Francisco,SF-Y18,Alemany Blvd at Francis St,23,2022-02-22,On-Street,0,1,37.7273954,-122.4355133,-122.4355133,37.7273954
430,San Francisco,SF-J19,Alamo Square (Steiner St at Fulton St),23,2019-01-31,On-Street,0,1,37.77754677,-122.4332741,-122.4332741,37.7775467700001
431,San Francisco,SF-M26-2,Alameda St at Henry Adams St,23,2020-03-05,On-Street,0,1,37.76854574,-122.4044028,-122.4044028,37.76854574
432,San Francisco,SF-J1,48th Ave at Cabrillo St,23,2020-03-19,Off-Street,0,1,37.772954,-122.509071,-122.509071,37.772954
433,San Francisco,SF-P2,45th Ave at Noriega St,19,2023-03-01,On-Street,0,1,37.752809,-122.504261,-122.504261,37.7528090000001
434,San Francisco,SF-O2,43rd Ave at Lawton St,21,2023-03-02,On-Street,0,1,37.75699964,-122.502551,-122.502551,37.7569996400001
435,San Francisco,SF-M3,41st Ave at Irving St,19,2023-02-14,On-Street,0,1,37.7626492,-122.5007785,-122.5007785,37.7626492000001
436,San Francisco,SF-J3,38th Ave at Balboa St,18,2020-06-29,On-Street,0,1,37.775522,-122.498498,-122.498498,37.7755220000001
437,San Francisco,SF-Q4,37th Ave at Ortega St,19,2023-04-05,On-Street,0,1,37.75173717,-122.4956,-122.4956,37.7517371700001
438,San Francisco,SF-GGP-04,36th Ave at Spreckles Lake Dr,27,2023-08-23,On-Street,0,1,37.771589,-122.495772,-122.495772,37.7715890000001
